bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Flammeovirgaceae	0.0199781275105426	0.00310238990149919	0.630752684198913	0.127570420768036	-0.161405403416556	-0.0289435633599312	-0.108081789258817	0.0313429305854022	0.00568409898036914	0.779920484629538	0.247581112897967
Methylocystaceae	0.0200796340922867	0.0036033300176595	0.865346718789479	0.221048873383327	-0.149275767224575	-0.00958170836450594	-0.0812403408585861	0.0314081440727112	0.00636135648050468	0.927283600502427	0.384144209127875
Cytophagaceae	0.0202655486197982	0.0028939540645283	0.512451189201001	0.820160162010311	-0.145879928068715	-0.0353105087399292	-0.0143078538331791	0.0316046055856377	0.00535841671311954	0.708507712773943	0.902865388431519
Thermomicrobiaceae	0.0203488997595176	0.0089029390711693	0.889965862127626	0.0761467289087689	-0.189911913461732	0.011092043939166	-0.16766336173359	0.0316404257388345	0.0134943563476663	0.936443337041831	0.174105123471001
Unclassified Campylobacterales Order	0.0208634996083308	0.00270147190965841	0.647839933465731	0.493731221408953	-0.179072991358898	-0.0300046540370045	-0.0526131648007127	0.0323353181226425	0.00503762021587547	0.781204270285506	0.656637461975358
Peptoniphilaceae	0.0209620031003078	0.0893530552731923	0.0820371331763279	0.00309478339828942	-0.106572772125153	-0.12290752529338	-0.248284094511515	0.0323353181226425	0.109139862384971	0.212809196952454	0.0172517712840814
Unclassified Blastocatellia Class	0.0209809316062948	0.00367586328033918	0.590731895344439	0.973664165161059	-0.215020820640275	-0.0439021243645457	-0.00314881694442695	0.0323353181226425	0.00642283198864401	0.756830105526861	0.983044359430434
Muribaculaceae	0.021289322874394	0.655757262397288	0.0350645204047845	0.00783731034500669	0.0395935069707389	0.213811713199393	0.31734974817755	0.0327143847102125	0.681779375984482	0.119310446052643	0.033661890334291
Unclassified Planctomycetales Order	0.0214741689477321	0.00255798245045323	0.148042694692905	0.613761028555013	-0.198462808200354	-0.105478289858585	-0.0428169041419734	0.0329019430661159	0.00482152087783271	0.325942739575975	0.753186835978517
Kofleriaceae	0.021660973666183	0.0087220110570827	0.744775673897991	0.879759263723624	-0.171678926944854	0.0236540145040826	0.0128621344574921	0.0330614685647809	0.0133034527100206	0.848396637222929	0.935078811746813
Unclassified Kiritimatiellaeota Phylum	0.0217673772687421	0.00222755956750079	0.111739731585119	0.186544109127793	-0.18900385961649	-0.108747939510842	-0.10530738655367	0.0330614685647809	0.00430716314896832	0.26444491572636	0.340589244539943
Azonexaceae	0.0217675699520027	0.00367719388662825	0.582626658615486	0.9466966221366	-0.161575195327571	-0.0336887023688431	-0.00478642668958702	0.0330614685647809	0.00642283198864401	0.751920643370417	0.966996159843233
Sphingobacteriaceae	0.0229119723531775	0.00217135874244209	0.288144035586682	0.307328139165905	-0.159756291106569	-0.0607841259245009	-0.0681506475444202	0.0346039193704901	0.00421404437422095	0.515315613131131	0.48360343820701
Unclassified Actinobacteria Class	0.0229151908808398	0.00593691881555235	0.974522967393041	0.162610263794487	-0.162794360309573	0.00208618364707163	-0.107280491128952	0.0346039193704901	0.00951359467690957	0.982019297911449	0.306243496665221
Immundisolibacteraceae	0.0231853476442538	0.00389767046470319	0.67746349400944	0.852800259763288	-0.201142904968264	-0.0320163718848696	-0.016706658478327	0.0348245463375047	0.00669632565083433	0.808635241141109	0.921375950754562
Dermacoccaceae	0.0232178745084199	0.00349971000183263	0.637052967631419	0.750973700469175	-0.211554414412007	-0.0377681032353289	-0.0297242946995194	0.0348245463375047	0.00627785343566657	0.780463889296226	0.850503967291023
