SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Calditrichaeota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SAMPLE-43	0.0	3.580404477004013	0.0	0.0	3.493100960228578	0.0	0.0	0.5516829523787792	0.0	0.0	0.9985507457077611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.418201304677281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4726110972277313	0.3581167256094132	0.0	0.3581167256094132	0.0	0.5516829523787792	2.900472071514265
SAMPLE-44	0.0	2.9822847047478076	0.0	0.0	1.3301985100942484	0.0	0.0	0.988483699744007	0.0	0.0	0.0	0.0	0.592484406615161	0.0	0.0	0.0	0.0	0.0	4.462002501458896	1.149449089579109	0.0	0.0	0.0	0.0	0.0	0.23759216507930367	3.626151268991717	0.0	0.0	0.9181313955717051	0.0	0.23759216507930367	0.592484406615161
SAMPLE-45	0.3181281347899625	4.350774340530321	0.0	0.0	3.078059167418452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.008056815558238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6063338153087825	0.0	0.0	0.3181281347899625	0.0	0.0	0.49977238670623103
SAMPLE-46	0.0	4.376936420269405	0.0	0.0	1.3191776002244355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.008226461066328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2456883204887346	0.0	0.0	0.9600833894239335	0.0	0.0	0.6636741163794048
SAMPLE-47	0.0	3.5099765678366404	0.0	0.0	3.186374722352015	0.0	0.21860910739417674	0.0	0.3633412928136093	0.0	0.5583630782686597	0.0	0.4717083469306319	0.0	0.0	0.0	0.21860910739417674	0.0	4.447324600625689	0.6924663718733486	0.0	0.0	0.0	0.0	0.0	0.0	3.1533286243911287	0.0	0.0	0.21860910739417674	0.0	0.0	0.4717083469306319
SAMPLE-48	0.0	3.6525036702844416	0.0	0.0	2.5880854073206523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2669569450320656	0.0	0.0	0.0	0.0	0.0	4.292529038827369	0.8415845112523307	0.0	0.0	0.0	0.0	0.0	0.2669569450320656	3.9867762712168484	0.0	0.0	0.6430913889816038	0.0	0.0	1.2338237980884312
SAMPLE-49	0.0	3.766711229753303	0.0	0.0	2.0177798246554595	0.0	0.0	0.0	0.0	0.0	0.4191069360871939	0.0	0.0	0.0	0.25826181519432995	0.0	0.7689778831435716	0.0	4.393947943101427	0.0	0.0	0.0	0.0	0.0	0.0	0.25826181519432995	3.3105377166605416	0.0	0.0	0.6283612943092732	0.0	0.0	3.1600195357151075
SAMPLE-5	0.0	3.8498967872154575	0.0	0.0	3.336856473619365	0.0	0.0	0.0	0.0	0.3044694848304548	0.6072090638013912	0.0	0.4817012135087412	0.0	2.149817842157769	0.0	0.0	0.0	4.38093982182425	0.0	0.0	0.0	0.0	0.0	0.0	0.4817012135087412	2.5092576939745106	0.0	0.0	2.4853958621311385	0.0	0.4817012135087412	2.1828978879199985
SAMPLE-50	0.17648388986323693	3.72888049281826	0.0	0.0	3.21176213036923	0.0	0.17648388986323693	0.30161880884395414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.352422138605344	1.302148059014725	0.17648388986323693	0.0	0.0	0.0	0.0	0.17648388986323693	3.6707258876611237	0.17648388986323693	0.0	0.779132162646054	0.0	0.6999117226165001	0.8139093425719034
SAMPLE-51	0.0	3.0544166924084863	0.0	0.0	3.8553219219761465	0.36022529002675435	0.21643726439986766	0.4680642851662098	0.0	0.0	0.0	0.0	0.21643726439986766	0.0	0.21643726439986766	0.0	0.0	0.0	4.272792419153868	2.694790767868614	0.0	0.0	0.0	0.0	0.0	0.21643726439986766	3.823785858075848	0.0	0.21643726439986766	0.9730523656497131	0.0	0.4680642851662098	0.5543816566733722
SAMPLE-52	0.0	3.873176963668885	0.0	0.0	2.701490118203749	0.0	0.35070360357636454	0.0	0.0	0.0	0.0	0.0	0.542165656138493	0.0	0.0	0.0	0.0	0.0	4.417430505829734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9255055729902772	0.35070360357636454	0.0	0.35070360357636454	0.0	0.0	1.085688626884452
SAMPLE-53	0.0	4.126786494366363	0.0	0.0	2.3298992123574767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.278273007982765	0.29874810480950464	0.0	0.0	0.0	0.0	0.0	0.0	2.099264105433626	0.0	0.0	0.47407606142044556	0.0	0.0	3.178697025396274
SAMPLE-54	0.0	3.751968504086536	0.0	0.0	3.729160177912493	0.0	0.3777018455627051	0.0	0.0	0.0	0.48844619498679914	0.0	0.7672749228178513	0.0	0.0	0.0	0.0	0.0	4.358569465916715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.560485444535566	0.0	0.0	0.2286790892551596	0.0	0.5766114160603222	0.48844619498679914
SAMPLE-55	0.47231439214551324	3.8567473876873626	0.0	0.0	1.9796164983847317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0348245970407568	0.0	0.0	0.0	2.0302629884664127	0.0	4.413863543244302	0.0	0.0	0.0	0.0	0.0	0.47231439214551324	0.47231439214551324	2.8820807165701376	0.0	0.0	1.961330944965103	0.0	0.6931953517069318	1.354814323299248
SAMPLE-56	0.0	3.426039904581433	0.0	0.0	4.012356516956301	0.0	0.20207057574043633	0.8015551332313227	0.3394385186487118	0.0	0.6584697844759153	0.44363881860331267	0.6584697844759153	0.0	0.0	0.0	1.8649915891864115	0.0	4.250070698680475	2.1803746285883046	0.0	0.20207057574043633	0.0	0.8015551332313227	0.0	0.711577156312102	3.5036637222075058	0.0	1.0203397282295876	1.3713221682725938	0.0	0.5979514606099312	0.8015551332313227
SAMPLE-57	0.0	2.7729399946457227	0.0	0.0	3.2184789338579525	0.0	0.0	0.46285204206562974	0.0	0.0	0.29037227919365377	0.0	0.29037227919365377	0.0	0.0	0.0	0.0	0.0	4.419955268852844	0.0	0.0	0.0	0.0	0.0	0.0	0.29037227919365377	3.143675881100596	0.0	0.0	1.0594378462887095	0.0	0.29037227919365377	3.6299901045583014
SAMPLE-58	0.0	2.8411073493513626	0.0	0.0	3.9550538879599437	0.0	0.0	1.1897536901678405	0.0	0.0	0.25633528647351145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.230628661268964	1.1897536901678405	0.0	0.0	0.0	0.0	0.0	0.41644419988918346	3.5698603434957157	0.0	0.0	1.166577350000253	0.0	0.41644419988918346	3.5731400029336333
SAMPLE-59	0.0	3.6742969040989024	0.0	0.0	1.668196461516338	0.0	0.0	1.158536989174806	0.0	0.0	0.7008538861687299	0.0	1.2326644063086312	0.0	0.0	0.0	0.0	0.0	4.465564412186449	0.0	0.0	0.7008538861687299	0.0	0.0	0.0	0.0	1.8411686500304638	0.0	0.0	2.1038529535292687	0.0	0.36932324852534654	0.5659843875690471
SAMPLE-6	0.2702598787155841	3.6887874092717587	0.0	0.0	3.7686951966623354	0.0	0.0	0.0	0.6486338638205777	0.2702598787155841	0.0	0.0	0.4355901241587467	0.0	2.1097602444387955	0.0	0.0	0.0	4.336290247184251	0.7255856788371049	0.0	0.0	0.0	0.0	0.0	0.0	3.18948871295123	0.0	0.0	0.8477214355467352	0.0	0.8477214355467352	1.881376384486068
SAMPLE-60	0.0	3.5030860331499993	0.0	0.0	3.0851575257694845	0.0	0.0	0.0	0.0	0.0	0.2785552780266191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4691956145203315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.537149684315424	0.0	0.2785552780266191	0.4468888568455689	0.0	0.5678961618391496	1.0370461476841382
SAMPLE-61	0.0	3.788821667329039	0.0	0.0	3.075170231710643	0.74147689135192	0.0	0.6777687650321511	0.0	0.0	0.39875736942391793	0.0	0.7970238921563507	0.0	0.0	0.0	2.320981387125293	0.0	4.418791534237754	0.9306203951809612	0.0	0.0	0.24362203472275243	0.0	0.0	0.6777687650321511	2.590189636826994	0.0	0.24362203472275243	1.3286563779735558	0.0	0.6030814521331962	0.6030814521331962
SAMPLE-7	0.4651845607335889	3.3410539093443212	0.0	0.0	3.6933585873350068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.265678777039245	0.5886078753657159	0.0	0.29210837361035	0.0	0.0	0.0	0.0	3.61836146852228	0.0	0.0	0.6846060904859127	0.0	0.0	3.652497719022692
SAMPLE-8	0.946131027634887	4.056631028236708	0.0	0.0	3.871678654204977	0.0	0.0	0.0	0.0	0.0	0.4710518907648721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.113964497729657	1.2466489899346584	0.0	0.29648594314745186	0.0	0.0	0.0	0.0	3.1170021599792825	0.0	0.0	0.4710518907648721	0.0	0.29648594314745186	3.0194437447370417
SAMPLE-9	0.30263555409333914	3.861982498320234	0.0	0.0	3.4872191180313052	0.0	0.0	0.0	0.0	0.0	0.30263555409333914	0.0	0.30263555409333914	0.0	0.0	0.0	1.0028857451545568	0.0	4.200071747369963	0.0	0.30263555409333914	0.0	0.0	0.0	0.0	0.0	3.571992553466843	0.0	0.0	0.0	0.0	0.6044661085771417	3.630672722545104
