SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
SRR11292170	0.38452064806436803	4.049171904546399	0.0	0.0	4.354714691158994	2.0762269063435497	0.585219985842958	0.0	0.0	0.0	0.38452064806436803	0.0	2.2493640120360956	0.38452064806436803	1.8585171080119576	0.9797121934916487	1.7523050669258013	0.0	0.0	2.481261763071029	0.0	4.413028603719639	1.1403634273725738	1.2573713038973873	0.0	0.0	0.0	0.0	1.68114890169974	3.492881879524608	0.38452064806436803	1.4899949826243808	1.773649418882201	0.0	0.38452064806436803	1.8834823432785037	2.1976461837049586	0.0
SRR11292171	0.0	3.3529864883332943	0.0	0.0	4.489631425239468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7635506985283452	0.0	0.7635506985283452	0.0	1.2505599383415398	0.0	0.0	0.0	0.0	4.423895330383948	1.2788940629757215	0.0	0.0	0.0	0.0	0.0	0.3425035584441684	3.580228869016204	0.3425035584441684	0.845225126658725	0.3425035584441684	0.0	0.0	1.0254401443809102	2.630575791998089	0.0
SRR11292172	0.0	3.2616705153107146	0.0	0.0	3.63750986170563	0.0	0.0	0.0	0.2245181620231675	0.0	1.9526929975850227	0.0	0.7588057453811872	0.0	1.4157555615509971	0.37178522787049023	0.0	0.0	0.0	2.5736515165224665	0.0	4.630288349182999	1.0202450057427759	0.0	0.6419411043513163	0.0	0.0	0.0	0.37178522787049023	3.711792418609169	0.8903888582164816	0.48156120338139335	0.9601524110267248	0.0	0.2245181620231675	0.9266699528501438	3.974455396008253	0.0
SRR11292173	1.0772396434785805	3.921036876880182	0.0	0.0	4.604052433459686	1.7210253175748067	0.0	0.0	0.4088810283363147	0.0	0.4088810283363147	0.0	1.5088747582838318	0.0	1.1306634785465717	0.755214900082517	0.0	0.0	0.9454148149340192	1.1782295051065246	0.0	4.090957942099528	2.072924610652547	0.0	0.0	0.0	0.6156937342705875	0.4088810283363147	0.0	3.4351343617956056	0.8606449860327067	1.2601095118939016	0.8606449860327067	1.8136813522778736	0.0	0.4088810283363147	1.5678139381540335	0.0
SRR11292174	2.2740953637401087	2.6485645465503485	0.0	0.0	4.610347433034713	0.0	0.0	0.0	1.1844337959740256	0.0	0.0	0.34062464221115757	1.8069817144497915	0.0	1.0223163483987396	0.0	0.6601757092543709	0.0	0.5291506237315826	0.0	0.0	4.259827362591588	2.024486186681847	0.0	0.34062464221115757	0.0	0.0	0.34062464221115757	0.0	3.5320689378777894	0.0	0.34062464221115757	0.9109157841163831	0.0	0.0	0.8422691985932029	2.8764860402509633	0.0
SRR11292175	0.5113949092553972	2.764684610354586	0.0	0.0	4.467750565844371	0.0	0.0	0.0	0.0	0.0	0.5113949092553972	0.0	0.6404337475848113	0.0	1.0456577840511212	0.0	0.32698546191356354	0.0	0.5113949092553972	0.0	0.0	4.469491566993431	2.4685662749398443	0.0	0.5113949092553972	0.0	0.0	0.0	0.5113949092553972	3.620158926513825	0.0	0.32698546191356354	0.5113949092553972	0.6404337475848113	0.0	1.160710991423043	1.567515094766133	0.0
SRR11292176	0.6679504636668887	3.3797467125328313	0.5937582083869739	0.3913113263295444	4.502269761712721	1.8568098238742525	0.5937582083869739	0.0	0.0	0.0	0.7865712714147722	0.0	1.424674389100037	0.0	1.779714388005721	0.0	1.424674389100037	0.0	0.23831362195550648	1.735341892918595	0.0	3.9301843680793236	4.075540754387442	0.5042258412803854	0.6679504636668887	0.0	0.3913113263295444	1.2850315520053601	1.2850315520053601	3.950258302033251	1.213581120160731	1.1037030252369853	0.9562513325986708	1.0213488323373618	0.23831362195550648	1.1280152684918476	1.975782988697589	0.0
SRR11292177	2.049174010535999	3.8443398748428494	0.0	0.0	4.006248758467291	0.0	0.0	0.0	0.0	0.0	0.0	0.3219912360083263	0.7320389500384247	0.0	2.040566168170002	0.0	0.3219912360083263	0.6331342822094076	0.0	0.0	0.0	4.577527127404783	1.7884467115736684	0.0	0.3219912360083263	0.3219912360083263	0.0	1.3613112905826994	0.5048506266755745	3.9304779523333404	0.8804354295815346	0.5048506266755745	1.558285117663347	1.242627456714304	0.6331342822094076	0.7320389500384247	2.093689615121761	0.0
SRR11292178	1.5185798507522763	3.5809802627406238	0.0	0.27623839934787286	4.499389931276813	0.0	0.0	1.230512893840303	0.0	0.0	1.2071892446791728	0.0	1.0670089344387788	0.0	2.26723933145193	0.0	1.6489683082047624	0.44374100153212664	0.0	3.2237945563949717	0.0	4.3775381411603655	0.27623839934787286	0.0	1.3129938829684173	0.0	0.0	1.0988984912880964	0.8587294069760083	3.3911011179876374	0.0	1.1286057760196753	1.3659688203627107	1.6402164549084675	0.0	1.0670089344387788	2.2020712245289182	0.0
SRR11292179	0.3767318381531374	2.6569778324740274	0.0	0.2279957686537872	4.407839302250975	0.0	0.0	0.0	0.3767318381531374	0.0	0.6485670867440827	0.2279957686537872	0.8581653109045763	0.0	1.2273663348280452	0.0	0.9677862832905305	0.2279957686537872	0.7658898345027947	1.5060867824010855	0.0	4.559428056731399	1.832324763368882	0.0	0.0	0.0	0.2279957686537872	0.0	0.5753839085084779	3.0978607883416576	0.3767318381531374	0.0	2.2464193302627833	0.0	0.0	1.0279992366008672	1.9578714225816163	0.0
